1	GNU
2	Version
4	Copyright
5	Everyone
6	of
8	Preamble
10	The
11	software
13	The
14	to
15	the
16	share
17	software
18	GNU
19	any
20	your
22	When
23	price.
24	have
25	them
26	want
27	free
29	To
30	these
31	certain
32	you
34	For
35	gratis
36	freedoms
37	or
38	know
40	Developers
41	(1)
42	giving
44	For
45	that
46	authors'
47	changed,
48	authors
50	Some
51	modified
52	can
53	protecting
54	pattern
55	use,
56	have
57	products.
58	stand
59	of
61	Finally,
62	States
63	software
64	avoid
65	make
66	patents
68	The
69	modification
71	TERMS
73	0.
75	This
77	Copyright
78	works,
80	The
81	License.
82	recipients
84	To
85	in
86	exact
87	earlier
89	A
90	on
92	To
93	permission,
94	infringement
95	computer
96	distribution
97	public,
99	To
100	parties
101	a
103	An
104	to
105	feature
106	tells
107	extent
108	work
109	the
110	menu,
112	1.
114	The
115	for
116	form
118	A
119	standard
120	interfaces
121	is
123	The
124	than
125	packaging
126	Component,
127	Major
128	implementation
129	Major
130	(kernel,
131	(if
132	produce
134	The
135	the
136	work)
137	control
138	System
139	programs
140	which
141	includes
142	the
143	linked
144	such
145	subprograms
147	The
148	can
149	Source.
151	The
152	same
154	2.
156	All
157	copyright
158	conditions
159	permission
160	covered
161	content,
162	rights
164	You
165	convey,
166	in
167	of
168	with
169	the
170	not
171	for
172	and
173	your
175	Conveying
176	the
177	makes
179	3.
181	No
182	measure
183	11
184	similar
185	measures.
187	When
188	circumvention
189	is
190	the
191	modification
192	users,
193	technological
195	4.
197	You
198	receive
199	appropriately
200	keep
201	non-permissive
202	keep
203	recipients
205	You
206	and
208	5.
210	You
211	produce
212	terms
214	a)
215	it,
217	b)
218	released
219	7.
220	keep
222	c)
223	License
224	License
225	additional
226	regardless
227	permission
228	invalidate
230	d)
231	Appropriate
232	interfaces
233	work
235	A
236	works,
237	and
238	in
239	aggregate
240	used
241	beyond
242	in
243	parts
245	6.
247	You
248	of
249	machine-readable
250	in
252	a)
253	(including
254	Corresponding
255	customarily
257	b)
258	(including
259	written
260	long
261	model,
262	copy
263	product
264	medium
265	more
266	conveying
267	Corresponding
269	c)
270	written
271	alternative
272	only
273	with
275	d)
276	place
277	Corresponding
278	further
279	Corresponding
280	copy
281	may
282	that
283	clear
284	Corresponding
285	Corresponding
286	available
288	e)
289	you
290	Source
291	charge
293	A
294	from
295	included
297	A
298	tangible
299	or
300	into
301	doubtful
302	product
303	typical
304	of
305	actually
306	is
307	commercial,
308	the
310	Installation
311	procedures,
312	and
313	a
314	suffice
315	code
316	modification
318	If
319	specifically
320	part
321	User
322	fixed
323	Corresponding
324	by
325	if
326	modified
327	been
329	The
330	requirement
331	for
332	the
333	network
334	adversely
335	protocols
337	Corresponding
338	in
339	documented
340	source
341	unpacking,
343	7.
345	Additional
346	License
347	Additional
348	be
349	that
350	apply
351	under
352	this
354	When
355	remove
356	it.
357	removal
358	additional
359	for
361	Notwithstanding
362	add
363	that
365	a)
366	terms
368	b)
369	author
370	Notices
372	c)
373	requiring
374	reasonable
376	d)
377	authors
379	e)
380	trade
382	f)
383	material
384	it)
385	any
386	those
388	All
389	restrictions
390	received
391	governed
392	restriction,
393	a
394	License,
395	of
396	not
398	If
399	must
400	additional
401	where
403	Additional
404	form
405	the
407	8.
409	You
410	provided
411	modify
412	this
413	paragraph
415	However,
416	license
417	provisionally,
418	finally
419	holder
420	prior
422	Moreover,
423	reinstated
424	violation
425	received
426	copyright
427	your
429	Termination
430	licenses
431	this
432	reinstated,
433	material
435	9.
437	You
438	run
439	occurring
440	to
441	nothing
442	modify
443	not
444	covered
446	10.
448	Each
449	receives
450	propagate
451	for
453	An
454	organization,
455	organization,
456	work
457	transaction
458	licenses
459	give
460	Corresponding
461	the
463	You
464	rights
465	not
466	rights
467	(including
468	any
469	sale,
471	11.
473	A
474	License
475	work
477	A
478	owned
479	hereafter
480	by
481	but
482	consequence
483	purposes
484	patent
485	this
487	Each
488	patent
489	make,
490	propagate
492	In
493	agreement
494	(such
495	sue
496	party
497	patent
499	If
500	and
501	to
502	publicly
503	then
504	available,
505	patent
506	consistent
507	license
508	actual
509	covered
510	in
511	country
513	If,
514	arrangement,
515	covered
516	receiving
517	or
518	you
519	work
521	A
522	the
523	conditioned
524	specifically
525	work
526	in
527	to
528	the
529	parties
530	patent
531	conveyed
532	for
533	contain
534	or
536	Nothing
537	any
538	otherwise
540	12.
542	If
543	otherwise)
544	excuse
545	covered
546	License
547	not
548	to
549	the
550	License
552	13.
554	Notwithstanding
555	permission
556	under
557	combined
558	License
559	but
560	section
561	combination
563	14.
565	The
566	the
567	be
568	address
570	Each
571	Program
572	Public
573	option
574	version
575	Foundation.
576	GNU
577	by
579	If
580	versions
581	public
582	to
584	Later
585	permissions.
586	author
587	later
589	15.
591	THERE
592	APPLICABLE
593	HOLDERS
594	OF
595	THE
596	PURPOSE.
597	IS
598	ALL
600	16.
602	IN
603	WILL
604	THE
605	GENERAL,
606	USE
607	DATA
608	PARTIES
609	EVEN
610	SUCH
612	17.
614	If
615	above
616	reviewing
617	an
618	Program,
619	copy
621	END
623	How
625	If
626	possible
627	free
629	To
630	to
631	state
632	the
634	<one
635	Copyright
637	This
638	it
639	the
640	(at
642	This
643	but
644	MERCHANTABILITY
645	GNU
647	You
648	along
650	Also
652	If
653	notice
655	<program>
656	This
657	This
658	under
660	The
661	parts
662	might
664	You
665	if
666	For
667	<https://www.gnu.org/licenses/>.
669	The
670	into
671	may
672	the
673	Public
674	<https://www.gnu.org/licenses/why-not-lgpl.html>.
